Event Time (Temps universel coordonné),Point Name,Northing,Easting,Elevation,ReferenceNorthing,ReferenceEasting,ReferenceElevation,StdDevNorthing,StdDevEasting,StdDevElevation
2023-09-13 08:34:12,st001,1185070.0001,2564880.0017,520.0006,1185070.0000,2564880.0000,520.0000,0.0004609,0.0002938,0.0001479
2023-09-13 08:34:12,Ref_1,1185071.1240,2564879.2070,519.7990,1185071.1240,2564879.2070,519.7990,0.0000328,0.0000328,0.0000327
2023-09-13 08:34:12,Ref_2,1185069.5600,2564876.7790,520.6010,1185069.5600,2564876.7790,520.6010,0.0000328,0.0000328,0.0000327
2023-09-13 08:34:12,Ref_3,1185065.6890,2564881.7870,519.3410,1185065.6890,2564881.7870,519.3410,0.0000328,0.0000328,0.0000327
2023-09-13 08:34:12,KM_000_D,1185068.5330,2564879.1723,519.6552,1185068.0659,2564878.9094,519.5454,0.0198520,0.0110370,0.0046599
2023-09-13 08:34:12,KM_000_G,1185068.8017,2564879.3635,519.5841,1185068.8020,2564879.3620,519.5840,0.0196403,0.0102804,0.0068023
2023-09-13 08:34:12,KM_035_D,1185068.3118,2564879.4717,519.6537,1185068.3120,2564879.4700,519.6540,0.0217626,0.0066776,0.0044657
2023-09-13 08:34:12,KM_035_G,1185068.5881,2564879.6678,519.5766,1185068.5880,2564879.6650,519.5760,0.0217026,0.0049894,0.0065067
2023-09-13 08:34:12,KM_070_D,1185068.0865,2564879.7802,519.6544,1185068.0880,2564879.7790,519.6540,0.0226993,0.0025075,0.0041080
2023-09-13 08:34:12,KM_070_G,1185068.3513,2564879.9757,519.5752,1185068.3510,2564879.9740,519.5740,0.0224653,0.0003904,0.0057958
2023-09-13 08:34:12,KM_105_D,1185067.8592,2564880.0751,519.6584,1185067.8580,2564880.0730,519.6580,0.0228929,0.0009859,0.0036672
2023-09-13 08:34:12,KM_105_G,1185068.1192,2564880.2628,519.5685,1185068.1190,2564880.2610,519.5680,0.0223907,0.0032490,0.0051497
2023-09-13 08:34:12,KM_140_D,1185067.6257,2564880.3789,519.6195,1185067.6260,2564880.3770,519.6190,0.0226110,0.0037356,0.0036419
2023-09-13 08:34:12,KM_140_G,1185067.8843,2564880.5671,519.5722,1185067.8840,2564880.5650,519.5720,0.0219649,0.0059982,0.0044592
